date,actual,forecast
2025-02-19,12970.19,12963.575
2025-02-20,12950.03,12964.35
2025-02-21,12929.92,12963.665
2025-02-22,12929.92,12959.542
2025-02-23,12929.92,12953.217
2025-02-24,12916.18,12945.86
2025-02-25,12899.909999999998,12937.28
2025-02-26,12884.62,12927.895
2025-02-27,12879.95,12917.552
2025-02-28,12877.37,12907.22
2025-03-01,12877.37,12897.532
2025-03-02,12877.37,12888.833
2025-03-03,12890.07,12881.83
2025-03-04,12897.2,12877.013
2025-03-05,12903.329999999996,12873.732
2025-03-06,12900.369999999999,12871.956
2025-03-07,12918.360000000002,12871.928
2025-03-08,12918.360000000002,12873.901
2025-03-09,12918.360000000002,12877.7295
2025-03-10,12918.360000000002,12881.993
2025-03-11,12940.110000000002,12886.264
2025-03-12,12931.94,12891.088
2025-03-13,12919.999999999998,12896.295
2025-03-14,12938.11,12899.894
2025-03-15,12938.11,12902.894
2025-03-16,12938.11,12905.96
2025-03-17,12953.2,12909.095
2025-03-18,12943.39,12911.714
2025-03-19,12935.68,12914.602
2025-03-20,12926.509999999998,12916.758
2025-03-21,12926.509999999998,12917.839
2025-03-22,12926.509999999998,12916.91
2025-03-23,12926.509999999998,12916.086
2025-03-24,12940.58,12915.625
2025-03-25,12947.07,12914.619
2025-03-26,12929.37,12914.692
2025-03-27,12909.19,12914.775
2025-03-28,12913.19,12912.742
2025-03-29,12913.19,12910.309
2025-03-30,12913.19,12908.064
2025-03-31,12913.19,12906.157
2025-04-01,12937.160000000002,12904.202
2025-04-02,12925.2,12903.283
2025-04-03,12915.0,12903.277
2025-04-04,12920.440000000002,12902.17
2025-04-05,12920.440000000002,12900.72
2025-04-06,12920.440000000002,12900.528
2025-04-07,12947.2,12901.399
2025-04-08,12966.38,12903.002
2025-04-09,12960.380000000001,12906.683
2025-04-10,12973.31,12911.534
2025-04-11,12968.38,12917.043
2025-04-12,12968.38,12921.752
2025-04-13,12968.38,12926.961
2025-04-14,12980.33,12932.303
2025-04-15,12969.56,12937.252
2025-04-16,12980.89,12941.795
2025-04-17,12994.59,12945.838
2025-04-18,12964.43,12949.002
2025-04-19,12964.43,12950.601
2025-04-20,12964.43,12951.141
2025-04-21,12938.2,12950.418
2025-04-22,12909.64,12948.602
2025-04-23,12878.96,12944.069
2025-04-24,12890.43,12936.229
2025-04-25,12927.170000000002,12925.938
2025-04-26,12927.170000000002,12917.726
2025-04-27,12927.170000000002,12911.217
