date,actual,forecast
2025-02-26,12884.62,12636.78598308787
2025-02-27,12879.95,12636.785983088479
2025-02-28,12877.37,12636.785983092128
2025-03-01,12877.37,12636.785983094733
2025-03-02,12877.37,12636.785983093792
2025-03-03,12890.07,12636.785983090715
2025-03-04,12897.2,12636.78598308889
2025-03-05,12903.33,12636.785983090002
2025-03-06,12900.37,12636.785983092546
2025-03-07,12918.36,12636.785983093765
2025-03-08,12918.36,12636.785983092595
2025-03-09,12918.36,12636.785983090529
2025-03-10,12918.36,12636.785983089772
2025-03-11,12940.11,12636.785983090922
2025-03-12,12931.94,12636.785983092568
2025-03-13,12920.0,12636.785983092981
2025-03-14,12938.11,12636.785983091902
2025-03-15,12938.11,12636.785983090615
2025-03-16,12938.11,12636.785983090447
2025-03-17,12953.2,12636.785983091426
2025-03-18,12943.39,12636.785983092412
2025-03-19,12935.68,12636.785983092406
2025-03-20,12926.51,12636.785983091544
2025-03-21,12926.51,12636.785983090807
2025-03-22,12926.51,12636.785983090926
2025-03-23,12926.51,12636.78598309167
2025-03-24,12940.58,12636.785983092206
2025-03-25,12947.07,12636.785983092019
2025-03-26,12929.37,12636.785983091391
2025-03-27,12909.19,12636.785983091015
2025-03-28,12913.19,12636.785983091238
2025-03-29,12913.19,12636.785983091759
2025-03-30,12913.19,12636.78598309201
2025-03-31,12913.19,12636.785983091773
2025-04-01,12937.16,12636.785983091351
2025-04-02,12925.2,12636.785983091195
2025-04-03,12915.0,12636.785983091428
2025-04-04,12920.44,12636.785983091764
2025-04-05,12920.44,12636.785983091851
2025-04-06,12920.44,12636.785983091633
2025-04-07,12947.2,12636.78598309137
2025-04-08,12966.38,12636.785983091333
2025-04-09,12960.38,12636.785983091531
2025-04-10,12973.31,12636.785983091733
2025-04-11,12968.38,12636.785983091733
2025-04-12,12968.38,12636.785983091557
2025-04-13,12968.38,12636.785983091406
2025-04-14,12980.33,12636.78598309143
2025-04-15,12969.56,12636.78598309158
2025-04-16,12980.89,12636.785983091691
2025-04-17,12994.59,12636.785983091653
2025-04-18,12964.43,12636.785983091526
2025-04-19,12964.43,12636.785983091448
2025-04-20,12964.43,12636.785983091493
2025-04-21,12938.2,12636.785983091599
2025-04-22,12909.64,12636.785983091651
2025-04-23,12878.96,12636.785983091604
2025-04-24,12890.43,12636.785983091519
2025-04-25,12927.17,12636.785983091486
2025-04-26,12927.17,12636.785983091533
2025-04-27,12927.17,12636.785983091602
2025-04-28,12957.14,12636.78598309162
2025-04-29,12948.1,12636.785983091577
2025-04-30,12933.16,12636.785983091522
2025-05-01,12920.16,12636.785983091515
2025-05-02,12900.0,12636.785983091555
2025-05-03,12900.0,12636.785983091597
2025-05-04,12900.0,12636.785983091597
2025-05-05,12915.07,12636.78598309156
2025-05-06,12938.01,12636.78598309153
2025-05-07,12924.92,12636.785983091533
2025-05-08,12910.15,12636.785983091564
2025-05-09,12910.15,12636.785983091586
2025-05-10,12910.15,12636.785983091579
2025-05-11,12910.15,12636.785983091553
2025-05-12,12880.35,12636.785983091537
2025-05-13,12895.55,12636.785983091546
2025-05-14,12935.27,12636.785983091568
2025-05-15,12980.16,12636.785983091579
2025-05-16,12965.34,12636.78598309157
2025-05-17,12965.34,12636.785983091551
2025-05-18,12965.34,12636.785983091544
2025-05-19,12917.1,12636.785983091553
2025-05-20,12858.15,12636.785983091568
2025-05-21,12892.91,12636.785983091571
2025-05-22,12937.93,12636.785983091562
2025-05-23,12904.51,12636.785983091551
2025-05-24,12904.51,12636.78598309155
2025-05-25,12904.51,12636.785983091559
2025-05-26,12915.9,12636.785983091568
2025-05-27,12939.93,12636.785983091568
2025-05-28,12886.9,12636.78598309156
2025-05-29,12831.13,12636.785983091553
2025-05-30,12768.26,12636.785983091553
2025-05-31,12768.26,12636.785983091559
2025-06-01,12768.26,12636.785983091564
2025-06-02,12790.43,12636.785983091562
2025-06-03,12834.61,12636.785983091557
2025-06-04,12857.35,12636.785983091553
2025-06-05,12831.81,12636.785983091555
2025-06-06,12831.81,12636.785983091559
2025-06-07,12831.81,12636.78598309156
2025-06-08,12831.81,12636.785983091559
2025-06-09,12777.52,12636.785983091555
2025-06-10,12712.05,12636.785983091553
2025-06-11,12674.37,12636.785983091555
2025-06-12,12646.56,12636.785983091559
2025-06-13,12705.79,12636.785983091559
2025-06-14,12705.79,12636.785983091557
2025-06-15,12705.79,12636.785983091555
2025-06-16,12760.21,12636.785983091555
2025-06-17,12715.13,12636.785983091557
2025-06-18,12668.14,12636.785983091559
2025-06-19,12618.63,12636.785983091559
2025-06-20,12559.26,12636.785983091557
2025-06-21,12559.26,12636.785983091555
2025-06-22,12559.26,12636.785983091555
2025-06-23,12496.94,12636.785983091557
2025-06-24,12410.99,12636.785983091559
2025-06-25,12456.25,12636.785983091559
2025-06-26,12531.78,12636.785983091557
2025-06-27,12586.41,12636.785983091557
2025-06-28,12586.41,12636.785983091557
2025-06-29,12586.41,12636.785983091557
2025-06-30,12654.13,12636.785983091557
2025-07-01,12694.97,12636.785983091557
2025-07-02,12676.11,12636.785983091557
2025-07-03,12591.71,12636.785983091557
2025-07-04,12557.56,12636.785983091557
2025-07-05,12557.56,12636.785983091557
2025-07-06,12557.56,12636.785983091557
2025-07-07,12606.73,12636.785983091557
2025-07-08,12676.73,12636.785983091557
2025-07-09,12712.09,12636.785983091557
2025-07-10,12653.32,12636.785983091557
2025-07-11,12634.34,12636.785983091557
2025-07-12,12634.34,12636.785983091557
2025-07-13,12634.34,12636.785983091557
2025-07-14,12615.07,12636.785983091557
2025-07-15,12699.14,12636.785983091557
2025-07-16,12778.12,12636.785983091557
2025-07-17,12758.36,12636.785983091557
2025-07-18,12658.19,12636.785983091557
2025-07-19,12658.19,12636.785983091557
2025-07-20,12658.19,12636.785983091557
2025-07-21,12578.21,12636.785983091557
2025-07-22,12603.52,12636.785983091557
2025-07-23,12704.02,12636.785983091557
2025-07-24,12762.53,12636.785983091557
2025-07-25,12653.48,12636.785983091557
2025-07-26,12653.48,12636.785983091557
2025-07-27,12653.48,12636.785983091557
2025-07-28,12581.73,12636.785983091557
2025-07-29,12514.34,12636.785983091557
2025-07-30,12500.01,12636.785983091557
2025-07-31,12591.57,12636.785983091557
2025-08-01,12692.42,12636.785983091557
2025-08-02,12692.42,12636.785983091557
2025-08-03,12692.42,12636.785983091557
2025-08-04,12725.16,12636.785983091557
2025-08-05,12621.29,12636.785983091557
2025-08-06,12524.89,12636.785983091557
2025-08-07,12502.99,12636.785983091557
2025-08-08,12593.77,12636.785983091557
2025-08-09,12593.77,12636.785983091557
2025-08-10,12593.77,12636.785983091557
2025-08-11,12672.81,12636.785983091557
2025-08-12,12589.35,12636.785983091557
2025-08-13,12509.83,12636.785983091557
2025-08-14,12497.75,12636.785983091557
2025-08-15,12581.97,12636.785983091557
2025-08-16,12581.97,12636.785983091557
2025-08-17,12581.97,12636.785983091557
2025-08-18,12547.38,12636.785983091557
2025-08-19,12497.19,12636.785983091557
2025-08-20,12524.92,12636.785983091557
2025-08-21,12466.44,12636.785983091557
2025-08-22,12413.79,12636.785983091557
2025-08-23,12413.79,12636.785983091557
2025-08-24,12413.79,12636.785983091557
2025-08-25,12357.09,12636.785983091557
2025-08-26,12305.8,12636.785983091557
2025-08-27,12354.65,12636.785983091557
2025-08-28,12412.98,12636.785983091557
2025-08-29,12482.38,12636.785983091557
2025-08-30,12482.38,12636.785983091557
2025-08-31,12482.38,12636.785983091557
2025-09-01,12482.38,12636.785983091557
2025-09-02,12460.7,12636.785983091557
2025-09-03,12422.9,12636.785983091557
2025-09-04,12374.55,12636.785983091557
2025-09-05,12437.15,12636.785983091557
2025-09-06,12437.15,12636.785983091557
2025-09-07,12437.15,12636.785983091557
2025-09-08,12520.78,12636.785983091557
2025-09-09,12439.41,12636.785983091557
2025-09-10,12355.14,12636.785983091557
2025-09-11,12360.86,12636.785983091557
2025-09-12,12447.35,12636.785983091557
2025-09-13,12447.35,12636.785983091557
2025-09-14,12447.35,12636.785983091557
2025-09-15,12426.83,12636.785983091557
2025-09-16,12344.61,12636.785983091557
2025-09-17,12285.16,12636.785983091557
2025-09-18,12254.27,12636.785983091557
2025-09-19,12314.71,12636.785983091557
2025-09-20,12314.71,12636.785983091557
2025-09-21,12314.71,12636.785983091557
2025-09-22,12349.87,12636.785983091557
2025-09-23,12257.13,12636.785983091557
2025-09-24,12171.03,12636.785983091557
2025-09-25,12219.08,12636.785983091557
2025-09-26,12199.71,12636.785983091557
2025-09-27,12199.71,12636.785983091557
2025-09-28,12199.71,12636.785983091557
2025-09-29,12138.67,12636.785983091557
2025-09-30,12067.76,12636.785983091557
